Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins,Price_actual,Price_pred
Jet Airways,Delhi,Cochin,2,16022,6,3,19,10,4,25,33,15,16022,18513.115
Air India,Delhi,Cochin,1,10945,9,3,6,5,9,25,27,20,10945,11745.434
SpiceJet,Kolkata,Banglore,0,3873,27,5,9,0,11,25,2,25,3873,4092.6821
IndiGo,Delhi,Cochin,1,6147,9,5,15,10,20,0,4,50,6147,6074.015
Jet Airways,Delhi,Cochin,1,5963,27,3,19,15,19,45,24,30,5963,11037.253
IndiGo,Banglore,Delhi,0,4423,24,4,6,5,8,50,2,45,4423,4332.7036
Jet Airways,Delhi,Cochin,2,11702,21,3,9,40,18,50,9,10,11702,10071.527
Jet Airways,Delhi,Cochin,2,15129,9,5,23,5,12,35,13,30,15129,15000.574
IndiGo,Kolkata,Banglore,1,8443,1,5,9,20,14,15,4,55,8443,10842.184
Air India,Banglore,New Delhi,2,7664,15,3,5,50,12,5,30,15,7664,8864.773
Jet Airways,Delhi,Cochin,2,14300,12,6,8,10,12,35,28,25,14300,13185.281
IndiGo,Mumbai,Hyderabad,0,2227,12,5,21,20,22,50,1,30,2227,2510.6057
Multiple carriers,Delhi,Cochin,1,11789,15,6,11,40,19,0,7,20,11789,11081.649
Jet Airways,Banglore,New Delhi,1,11087,12,3,22,55,11,25,12,30,11087,13427.213
Jet Airways,Delhi,Cochin,1,14714,6,6,19,15,19,0,23,45,14714,12169.537
Jet Airways,Delhi,Cochin,2,10368,9,6,5,30,4,25,22,55,10368,12036.594
IndiGo,Delhi,Cochin,1,6027,24,4,15,10,20,0,4,50,6027,5898.2637
Air India,Delhi,Cochin,1,7480,18,5,20,40,9,25,12,45,7480,7579.85
Air India,Banglore,New Delhi,0,7276,15,3,10,0,12,45,2,45,7276,7072.1743
Jet Airways,Delhi,Cochin,1,14714,6,6,19,15,4,25,9,10,14714,11298.6
Multiple carriers,Delhi,Cochin,1,17057,3,3,7,5,21,0,13,55,17057,17207.717
Air India,Delhi,Cochin,2,10651,27,5,22,0,19,15,21,15,10651,10710.225
Air India,Delhi,Cochin,1,7480,24,5,9,45,9,25,23,40,7480,7752.8784
Air India,Banglore,Delhi,0,6961,3,6,17,0,19,45,2,45,6961,6517.194
Jet Airways,Delhi,Cochin,1,16079,21,5,22,50,4,25,5,35,16079,14737.124
Jet Airways,Delhi,Cochin,1,14714,3,6,17,30,12,35,19,5,14714,11014.332
Jet Airways,Banglore,Delhi,0,7229,15,6,15,15,18,10,2,55,7229,7027.5757
Jet Airways,Delhi,Cochin,2,13882,24,6,9,25,4,25,19,0,13882,13606.769
Jet Airways,Delhi,Cochin,2,16704,18,5,13,25,4,25,15,0,16704,16160.497
Multiple carriers,Delhi,Cochin,1,10678,6,6,4,55,12,35,7,40,10678,10507.004
IndiGo,Delhi,Cochin,1,7191,18,5,11,25,21,0,9,35,7191,7137.137
GoAir,Delhi,Cochin,1,6841,27,5,7,25,13,35,6,10,6841,5937.998
SpiceJet,Kolkata,Banglore,0,5515,3,3,9,0,11,30,2,30,5515,6717.842
IndiGo,Kolkata,Banglore,0,4804,27,6,4,40,7,15,2,35,4804,4571.9663
IndiGo,Chennai,Kolkata,0,3597,12,6,13,15,15,35,2,20,3597,3715.676
Jet Airways,Kolkata,Banglore,1,14388,21,5,14,5,4,40,14,35,14388,11403.305
Multiple carriers,Delhi,Cochin,1,10877,15,6,11,25,19,0,7,35,10877,10818.825
Multiple carriers,Delhi,Cochin,1,7530,3,6,12,50,1,30,12,40,7530,7655.9707
Jet Airways,Banglore,New Delhi,1,13817,12,3,18,55,9,30,14,35,13817,12191.188
Jet Airways,Kolkata,Banglore,1,13626,12,6,14,5,23,35,9,30,13626,12277.585
Jet Airways,Delhi,Cochin,1,16079,21,5,13,0,19,0,6,0,16079,13954.677
IndiGo,Banglore,New Delhi,0,8033,15,3,16,55,19,45,2,50,8033,7274.4346
SpiceJet,Kolkata,Banglore,0,3841,3,5,6,55,9,30,2,35,3841,4024.4084
Vistara,Mumbai,Hyderabad,1,12395,6,3,21,55,16,45,18,50,12395,12720.811
SpiceJet,Mumbai,Hyderabad,0,1965,24,5,5,45,7,15,1,30,1965,2089.7969
Air India,Kolkata,Banglore,2,12224,12,6,10,0,13,45,27,45,12224,12433.49
Vistara,Banglore,New Delhi,1,6065,21,3,6,40,21,55,15,15,6065,6271.641
Jet Airways,Kolkata,Banglore,1,14151,18,5,20,25,9,45,13,20,14151,12622.556
Jet Airways,Kolkata,Banglore,1,14231,24,3,18,55,12,0,17,5,14231,12124.113
SpiceJet,Banglore,Delhi,0,4423,9,5,21,10,0,5,2,55,4423,4031.3503
Air India,Banglore,New Delhi,1,5626,9,3,6,50,8,50,26,0,5626,9853.763
IndiGo,Delhi,Cochin,1,6628,1,6,18,35,1,30,6,55,6628,7373.832
Jet Airways,Delhi,Cochin,1,11627,6,6,13,0,12,35,23,35,11627,10668.885
IndiGo,Kolkata,Banglore,0,4804,18,6,20,25,23,10,2,45,4804,4572.2246
SpiceJet,Kolkata,Banglore,0,4465,18,3,6,55,9,35,2,40,4465,3875.4365
Jet Airways,Delhi,Cochin,1,10577,9,6,18,15,12,35,18,20,10577,11489.552
Multiple carriers,Delhi,Cochin,1,11789,6,6,6,0,19,0,13,0,11789,11930.592
Jet Airways,Delhi,Cochin,2,15544,21,5,5,30,12,35,7,5,15544,15746.513
IndiGo,Delhi,Cochin,1,5775,24,6,21,50,3,35,5,45,5775,6339.6133
Jet Airways,Mumbai,Hyderabad,0,4050,9,6,7,5,8,30,1,25,4050,6460.6484
Jet Airways,Banglore,New Delhi,1,26890,1,3,11,40,18,25,6,45,26890,28300.92
Air India,Delhi,Cochin,2,9653,15,6,19,45,19,15,23,30,9653,10093.458
Air India,Delhi,Cochin,2,10756,21,3,6,50,19,15,36,25,10756,9180.204
Jet Airways,Kolkata,Banglore,1,9899,12,6,8,25,20,45,12,20,9899,12009.751
Jet Airways,Delhi,Cochin,2,10368,9,6,19,30,12,35,17,5,10368,12220.318
Jet Airways,Banglore,New Delhi,1,13817,12,3,5,45,20,20,14,35,13817,13199.157
Air India,Kolkata,Banglore,1,7795,24,3,9,50,21,5,11,15,7795,10708.329
Jet Airways,Delhi,Cochin,2,10919,1,6,6,45,4,25,21,40,10919,12758.331
Multiple carriers,Delhi,Cochin,1,8625,27,5,10,35,19,15,8,40,8625,8125.987
Jet Airways,Kolkata,Banglore,1,13941,6,5,18,55,4,40,9,45,13941,10883.842
Jet Airways,Delhi,Cochin,1,18371,27,6,2,15,12,35,10,20,18371,11893.119
Jet Airways,Delhi,Cochin,2,16704,24,5,23,5,4,25,29,20,16704,15316.75
Air India,Delhi,Cochin,2,10975,27,6,9,45,9,25,23,40,10975,10624.244
Air Asia,Delhi,Cochin,1,11410,6,6,20,45,7,10,10,25,11410,8370.623
Air India,Banglore,Delhi,0,4441,9,4,5,45,8,45,3,0,4441,5889.171
IndiGo,Mumbai,Hyderabad,0,3175,15,6,16,55,18,25,1,30,3175,3244.7305
Multiple carriers,Delhi,Cochin,1,7563,6,3,7,10,22,20,15,10,7563,9079.231
Multiple carriers,Delhi,Cochin,1,11200,1,6,8,30,19,0,10,30,11200,11448.019
IndiGo,Delhi,Cochin,0,5601,9,6,14,20,17,35,3,15,5601,5321.6055
Jet Airways,Delhi,Cochin,1,10262,15,6,14,0,12,35,22,35,10262,10283.483
Jet Airways,Delhi,Cochin,2,10368,1,6,9,40,12,35,26,55,10368,12440.965
IndiGo,Delhi,Cochin,1,7503,18,5,9,15,1,30,16,15,7503,7481.6113
IndiGo,Delhi,Cochin,1,14871,6,3,7,30,21,0,13,30,14871,12573.767
Air India,Delhi,Cochin,1,8879,24,6,7,0,19,15,12,15,8879,9055.6
IndiGo,Kolkata,Banglore,0,5644,15,6,9,35,12,10,2,35,5644,4612.034
Jet Airways,Banglore,New Delhi,1,17471,6,3,22,50,21,20,22,30,17471,17030.82
Jet Airways,Delhi,Cochin,1,10262,12,6,22,50,12,35,13,45,10262,10488.611
Jet Airways,Kolkata,Banglore,1,14781,15,5,14,5,20,45,6,40,14781,12046.238
GoAir,Banglore,Delhi,0,4340,1,5,11,40,14,30,2,50,4340,3857.3376
Air India,Kolkata,Banglore,2,12224,12,6,17,30,13,45,20,15,12224,12559.417
Jet Airways,Kolkata,Banglore,1,10844,24,5,16,30,18,15,25,45,10844,12563.99
Multiple carriers,Delhi,Cochin,1,12853,9,4,9,0,19,15,10,15,12853,11662.448
Jet Airways,Delhi,Cochin,1,12898,27,5,19,45,4,25,8,40,12898,13297.329
Multiple carriers,Delhi,Cochin,1,14533,18,5,11,30,19,15,7,45,14533,11664.777
Air India,Delhi,Cochin,1,7258,6,6,17,40,8,15,14,35,7258,8251.909
Jet Airways,Delhi,Cochin,2,15129,9,5,23,5,4,25,29,20,15129,15991.051
Jet Airways,Mumbai,Hyderabad,0,4995,18,6,7,5,8,30,1,25,4995,6377.84
Air Asia,Banglore,Delhi,0,4282,3,4,4,55,7,45,2,50,4282,4414.578
Air India,Kolkata,Banglore,2,10697,21,5,8,20,21,50,13,30,10697,11679.236
GoAir,Delhi,Cochin,1,4692,24,4,7,25,13,35,6,10,4692,5082.826
Jet Airways,Kolkata,Banglore,1,13584,6,5,18,55,16,20,21,25,13584,10531.552
Jet Airways,Delhi,Cochin,1,10262,27,6,2,15,19,0,16,45,10262,11529.779
Jet Airways,Kolkata,Banglore,1,9314,1,4,9,35,19,10,9,35,9314,9756.489
IndiGo,Delhi,Cochin,1,6416,1,6,8,30,21,0,12,30,6416,6829.4663
IndiGo,Delhi,Cochin,1,6818,15,6,5,5,16,10,11,5,6818,6357.872
Air India,Kolkata,Banglore,0,5510,12,6,14,15,16,45,2,30,5510,5602.043
Jet Airways,Banglore,New Delhi,1,17261,6,3,22,50,10,25,11,35,17261,18061.412
Multiple carriers,Delhi,Cochin,1,9646,15,6,7,5,22,30,15,25,9646,9616.3955
Air India,Banglore,New Delhi,2,25430,1,3,8,50,9,25,24,35,25430,23449.523
Jet Airways,Mumbai,Hyderabad,0,4050,15,6,10,20,11,50,1,30,4050,6056.9775
Jet Airways,Kolkata,Banglore,1,10844,9,6,20,0,16,20,20,20,10844,11654.282
Jet Airways,Kolkata,Banglore,1,9899,12,6,8,25,18,15,9,50,9899,11597.134
IndiGo,Banglore,New Delhi,0,14306,1,3,18,55,21,45,2,50,14306,14996.797
Jet Airways,Mumbai,Hyderabad,0,4995,9,3,6,30,8,0,1,30,4995,7020.8457
Jet Airways,Delhi,Cochin,1,15554,18,5,8,0,19,0,11,0,15554,14210.134
Jet Airways,Kolkata,Banglore,1,10844,9,6,21,10,22,35,25,25,10844,11378.516
Jet Airways,Banglore,New Delhi,1,27210,15,3,21,25,5,5,7,40,27210,16653.434
IndiGo,Kolkata,Banglore,0,4174,6,4,14,25,16,55,2,30,4174,4565.1855
Multiple carriers,Delhi,Cochin,1,13587,15,6,14,0,21,0,7,0,13587,13258.766
Jet Airways,Delhi,Cochin,1,10262,6,6,7,5,12,35,5,30,10262,12543.871
Jet Airways,Kolkata,Banglore,1,10031,24,3,19,45,20,40,24,55,10031,12916.447
Jet Airways,Banglore,New Delhi,1,22270,1,3,8,0,8,15,24,15,22270,19989.094
Vistara,Banglore,Delhi,0,5613,27,4,7,0,9,40,2,40,5613,5030.14
Air India,Delhi,Cochin,2,16163,27,5,6,50,7,40,24,50,16163,13808.983
SpiceJet,Mumbai,Hyderabad,0,2647,18,6,5,45,7,15,1,30,2647,2406.9487
Jet Airways,Banglore,New Delhi,1,17996,6,3,8,0,8,15,24,15,17996,13821.661
Multiple carriers,Delhi,Cochin,1,15147,6,3,6,0,15,30,9,30,15147,16170.731
Jet Airways,Delhi,Cochin,2,12819,24,6,23,5,4,25,29,20,12819,13956.174
IndiGo,Banglore,Delhi,0,3943,27,6,21,15,0,15,3,0,3943,3862.5503
GoAir,Banglore,Delhi,0,3419,6,6,20,55,23,40,2,45,3419,3788.9812
Jet Airways,Banglore,Delhi,0,8016,1,6,7,10,10,10,3,0,8016,7259.7104
IndiGo,Delhi,Cochin,0,6015,15,4,14,25,17,40,3,15,6015,5689.4927
Air India,Kolkata,Banglore,0,5510,15,5,14,15,16,45,2,30,5510,5683.245
SpiceJet,Kolkata,Banglore,0,3873,18,6,9,0,11,25,2,25,3873,3829.936
Jet Airways,Delhi,Cochin,2,14300,27,6,18,20,12,35,18,15,14300,13001.839
Jet Airways,Mumbai,Hyderabad,0,8040,24,5,10,20,11,50,1,30,8040,5796.731
Air India,Banglore,Delhi,0,5176,6,4,10,0,12,45,2,45,5176,5815.32
IndiGo,Delhi,Cochin,1,7191,18,5,16,0,1,30,9,30,7191,7779.385
Jet Airways,Mumbai,Hyderabad,0,3210,12,6,19,35,21,5,1,30,3210,4299.294
Multiple carriers,Delhi,Cochin,1,18286,3,3,13,0,21,0,8,0,18286,17350.463
Air India,Mumbai,Hyderabad,1,10208,12,3,19,40,9,10,13,30,10208,9776.588
Jet Airways,Delhi,Cochin,1,10577,12,6,8,0,4,25,20,25,10577,10845.708
Multiple carriers,Delhi,Cochin,1,15147,3,3,10,20,1,35,15,15,15147,15567.5625
Air India,Banglore,New Delhi,1,8714,15,3,9,30,16,20,6,50,8714,8600.887
Jet Airways,Kolkata,Banglore,1,10953,6,5,9,35,9,45,24,10,10953,11191.1045
Jet Airways,Kolkata,Banglore,1,10844,18,5,8,25,12,0,27,35,10844,12296.463
Multiple carriers,Delhi,Cochin,1,5797,24,6,10,20,1,30,15,10,5797,7390.4517
Jet Airways,Delhi,Cochin,1,16079,21,5,20,55,19,0,22,5,16079,13591.686
Jet Airways,Kolkata,Banglore,1,10844,18,5,20,0,18,15,22,15,10844,11825.036
Jet Airways,Kolkata,Banglore,1,7064,1,4,16,30,16,20,23,50,7064,10341.263
IndiGo,Banglore,Delhi,0,4823,27,4,20,0,22,50,2,50,4823,4670.8594
Air Asia,Banglore,Delhi,0,4483,12,5,23,55,2,45,2,50,4483,4206.263
Multiple carriers,Delhi,Cochin,1,7485,21,5,10,20,21,0,10,40,7485,7416.632
GoAir,Delhi,Cochin,1,4201,6,4,7,25,13,35,6,10,4201,4059.6433
Jet Airways,Kolkata,Banglore,1,13626,12,6,6,30,16,20,9,50,13626,11699.327
IndiGo,Banglore,Delhi,0,3419,24,4,1,30,4,15,2,45,3419,4232.1245
Air India,Kolkata,Banglore,2,13243,18,5,7,0,1,20,18,20,13243,13518.649
Jet Airways,Mumbai,Hyderabad,0,2759,9,5,19,35,21,5,1,30,2759,4432.5234
Multiple carriers,Delhi,Cochin,1,10877,9,6,4,55,12,35,7,40,10877,10233.287
IndiGo,Delhi,Cochin,1,7048,27,3,4,45,15,30,10,45,7048,7832.7197
Jet Airways,Banglore,Delhi,0,5769,3,6,11,10,14,5,2,55,5769,7040.025
SpiceJet,Kolkata,Banglore,0,3815,15,3,9,0,11,30,2,30,3815,4152.738
Jet Airways,Kolkata,Banglore,1,8586,6,5,16,30,4,40,12,10,8586,11819.046
SpiceJet,Mumbai,Hyderabad,0,2385,15,3,13,10,14,30,1,20,2385,2899.8762
Jet Airways,Kolkata,Banglore,1,14388,21,5,8,25,9,20,24,55,14388,11976.445
IndiGo,Delhi,Cochin,1,14871,3,3,6,40,13,20,6,40,14871,11791.362
Jet Airways,Mumbai,Hyderabad,0,2071,24,3,2,55,4,25,1,30,2071,3625.0984
IndiGo,Banglore,Delhi,0,3943,21,6,22,10,1,0,2,50,3943,3517.5945
Jet Airways,Delhi,Cochin,2,13082,21,3,13,0,18,50,29,50,13082,10892.487
Vistara,Mumbai,Hyderabad,1,12395,6,3,8,45,9,25,24,40,12395,13363.642
Air India,Kolkata,Banglore,0,4435,21,3,20,45,23,20,2,35,4435,15312.928
Jet Airways,Kolkata,Banglore,1,6224,12,6,16,30,4,40,12,10,6224,11143.777
IndiGo,Delhi,Cochin,1,6171,15,4,5,5,16,10,11,5,6171,5720.288
Jet Airways,Banglore,New Delhi,1,22270,1,3,14,5,7,40,17,35,22270,24433.104
Jet Airways,Kolkata,Banglore,1,12692,9,6,20,25,21,5,24,40,12692,12753.492
Vistara,Kolkata,Banglore,1,8610,12,6,7,10,20,20,13,10,8610,8963.179
IndiGo,Banglore,Delhi,0,3943,3,6,13,0,15,50,2,50,3943,4366.043
SpiceJet,Kolkata,Banglore,0,3847,18,3,22,20,0,40,2,20,3847,3971.682
Vistara,Banglore,Delhi,0,4668,27,5,21,0,23,50,2,50,4668,4922.9526
Jet Airways,Delhi,Cochin,1,14714,6,6,20,55,19,0,22,5,14714,12105.669
SpiceJet,Kolkata,Banglore,0,4413,18,3,17,15,19,45,2,30,4413,3889.4233
IndiGo,Kolkata,Banglore,0,4804,9,5,21,25,0,5,2,40,4804,4786.5713
IndiGo,Banglore,New Delhi,0,4377,9,3,22,20,1,10,2,50,4377,5685.994
Air India,Banglore,Delhi,0,6961,6,6,6,10,8,55,2,45,6961,5988.0317
Jet Airways,Delhi,Cochin,1,10262,12,6,20,55,4,25,7,30,10262,11941.327
IndiGo,Delhi,Cochin,1,6069,12,6,16,0,21,0,5,0,6069,5578.2754
Jet Airways,Delhi,Cochin,1,12898,21,5,16,0,19,0,27,0,12898,14001.532
Jet Airways,Delhi,Cochin,1,12898,21,5,22,50,4,25,5,35,12898,14737.124
SpiceJet,Mumbai,Hyderabad,0,2647,6,6,5,45,7,15,1,30,2647,2441.3464
Jet Airways,Mumbai,Hyderabad,0,5678,3,3,7,10,8,35,1,25,5678,7823.48
SpiceJet,Kolkata,Banglore,0,3847,27,3,17,15,19,45,2,30,3847,4225.0264
Jet Airways,Delhi,Cochin,1,10262,6,6,20,55,4,25,7,30,10262,12383.893
Jet Airways,Banglore,New Delhi,1,26890,1,3,16,55,7,40,14,45,26890,27371.27
Vistara,Banglore,Delhi,0,5403,9,4,11,30,14,20,2,50,5403,5300.169
IndiGo,Banglore,Delhi,0,4823,1,6,16,55,19,45,2,50,4823,5020.58
Jet Airways,Kolkata,Banglore,1,8586,9,5,16,30,10,5,17,35,8586,11743.519
GoAir,Banglore,Delhi,0,3419,6,4,20,55,23,40,2,45,3419,4258.7705
SpiceJet,Kolkata,Banglore,0,3873,3,6,17,10,19,40,2,30,3873,3820.7803
Air India,Kolkata,Banglore,1,10203,6,6,10,0,20,25,10,25,10203,10210.551
Jet Airways,Kolkata,Banglore,1,10844,15,5,16,30,22,35,6,5,10844,12260.533
IndiGo,Kolkata,Banglore,0,4174,15,4,20,20,22,55,2,35,4174,4305.8496
Jet Airways,Banglore,New Delhi,1,11087,9,3,8,0,9,30,25,30,11087,11917.75
Vistara,Kolkata,Banglore,1,8085,1,5,20,20,23,25,27,5,8085,8430.413
Multiple carriers,Delhi,Cochin,1,15147,6,3,19,0,1,35,6,35,15147,13960.094
Multiple carriers,Delhi,Cochin,1,7575,21,5,4,55,19,15,14,20,7575,7354.3833
Jet Airways,Kolkata,Banglore,1,11841,9,6,21,10,9,20,12,10,11841,12828.879
Jet Airways,Kolkata,Banglore,1,7064,1,4,8,25,23,35,15,10,7064,9788.188
Jet Airways,Kolkata,Banglore,1,13941,1,5,14,5,8,15,18,10,13941,10210.676
IndiGo,Delhi,Cochin,1,6790,21,3,8,35,16,10,7,35,6790,7111.8125
Jet Airways,Banglore,New Delhi,1,11087,18,3,11,40,9,0,21,20,11087,12368.243
Air India,Delhi,Cochin,2,11491,15,5,19,45,19,15,23,30,11491,10735.595
Vistara,Banglore,Delhi,0,4878,9,6,17,0,19,35,2,35,4878,5318.861
Air India,Delhi,Cochin,2,9653,15,6,19,45,19,15,23,30,9653,10093.458
IndiGo,Delhi,Cochin,1,6968,21,4,6,50,12,10,5,20,6968,5610.055
Vistara,Kolkata,Banglore,1,7927,12,6,20,20,22,40,26,20,7927,7498.366
Jet Airways,Delhi,Cochin,2,15129,21,5,23,5,12,35,13,30,15129,15015.146
SpiceJet,Kolkata,Banglore,0,3841,1,5,9,0,11,25,2,25,3841,4013.6592
IndiGo,Delhi,Cochin,1,12351,9,3,17,30,1,35,8,5,12351,12349.424
Jet Airways,Kolkata,Banglore,1,13067,6,5,17,0,19,10,26,10,13067,11686.339
Air India,Delhi,Cochin,1,11038,6,3,6,10,8,15,26,5,11038,12328.067
IndiGo,Banglore,Delhi,0,4077,3,4,6,5,8,50,2,45,4077,3996.0508
Multiple carriers,Delhi,Cochin,1,6883,27,3,8,0,21,0,13,0,6883,9801.882
Air India,Banglore,New Delhi,0,19508,3,3,17,0,19,45,2,45,19508,11508.555
Air India,Banglore,New Delhi,1,8714,15,3,8,50,23,15,14,25,8714,8888.036
Multiple carriers,Delhi,Cochin,1,11299,27,3,4,0,18,50,14,50,11299,8614.519
Vistara,Kolkata,Banglore,1,8820,6,6,17,0,20,20,27,20,8820,8848.879
Jet Airways,Delhi,Cochin,1,10262,1,6,9,0,12,35,27,35,10262,10440.644
Air Asia,Kolkata,Banglore,1,5192,1,5,7,35,23,30,15,55,5192,5742.509
SpiceJet,Banglore,New Delhi,0,4273,24,3,5,45,8,35,2,50,4273,3821.647
Air India,Kolkata,Banglore,2,13222,18,5,9,25,13,45,28,20,13222,13075.345
Jet Airways,Kolkata,Banglore,1,13067,21,5,20,25,22,5,25,40,13067,13590.221
IndiGo,Kolkata,Banglore,0,5224,15,5,14,25,16,55,2,30,5224,4859.9536
Jet Airways,Kolkata,Banglore,1,13067,9,5,20,25,23,35,27,10,13067,10392.727
IndiGo,Delhi,Cochin,1,6979,15,5,11,25,1,30,14,5,6979,7334.4756
Jet Airways,Delhi,Cochin,1,6542,15,4,13,0,19,0,6,0,6542,9133.855
Jet Airways,Kolkata,Banglore,1,14571,9,6,21,10,18,15,21,5,14571,11910.102
Multiple carriers,Delhi,Cochin,1,9646,3,6,13,15,22,30,9,15,9646,9016.301
Jet Airways,Kolkata,Banglore,1,13044,12,6,16,30,16,20,23,50,13044,10390.989
Jet Airways,Kolkata,Banglore,1,11467,1,4,9,35,10,55,25,20,11467,9806.371
Air India,Banglore,Delhi,0,5228,21,4,10,0,12,45,2,45,5228,6171.352
Air India,Kolkata,Banglore,2,14960,12,6,16,45,8,55,16,10,14960,13789.201
Jet Airways,Delhi,Cochin,1,12373,9,5,10,0,4,25,18,25,12373,12732.956
Jet Airways,Banglore,New Delhi,1,16736,6,3,5,45,18,25,12,40,16736,17027.834
IndiGo,Banglore,Delhi,0,3943,18,5,10,30,13,20,2,50,3943,4510.5103
Air India,Mumbai,Hyderabad,0,3100,21,5,19,30,20,45,1,15,3100,3058.463
IndiGo,Mumbai,Hyderabad,0,4049,9,6,9,10,10,40,1,30,4049,4256.039
Jet Airways,Kolkata,Banglore,1,7064,1,4,16,30,4,40,12,10,7064,10466.975
Vistara,Banglore,New Delhi,0,7923,9,3,16,0,18,35,2,35,7923,10318.741
Air India,Kolkata,Banglore,1,8891,1,5,9,25,18,30,9,5,8891,9598.719
Multiple carriers,Delhi,Cochin,1,10197,18,5,7,0,19,0,12,0,10197,10669.902
SpiceJet,Delhi,Cochin,1,6065,21,3,6,10,11,20,5,10,6065,6410.6436
IndiGo,Delhi,Cochin,0,5406,18,3,14,30,17,35,3,5,5406,6451.8774
Jet Airways,Delhi,Cochin,2,13014,9,6,19,30,12,35,17,5,13014,12220.318
Jet Airways,Kolkata,Banglore,1,14781,15,5,8,25,19,50,11,25,14781,12339.153
Multiple carriers,Delhi,Cochin,1,10197,15,5,9,0,19,0,10,0,10197,11039.236
Jet Airways,Kolkata,Banglore,1,10844,1,5,21,10,4,40,7,30,10844,12217.582
Jet Airways,Kolkata,Banglore,1,9314,1,4,9,35,18,0,8,25,9314,10244.888
Jet Airways,Kolkata,Banglore,1,10539,9,6,20,25,21,5,24,40,10539,12753.492
Jet Airways,Delhi,Cochin,1,6017,27,3,2,15,4,25,26,10,6017,10471.459
Jet Airways,Kolkata,Banglore,1,9663,18,5,14,5,12,0,21,55,9663,12816.301
Multiple carriers,Delhi,Cochin,1,10678,27,6,4,55,19,0,14,5,10678,10978.757
Jet Airways,Delhi,Cochin,2,16704,18,5,23,5,4,25,29,20,16704,15894.627
Jet Airways,Delhi,Cochin,1,10262,27,6,20,55,12,35,15,40,10262,10302.29
Jet Airways,Kolkata,Banglore,1,9663,15,5,6,30,12,0,5,30,9663,12200.637
Multiple carriers,Delhi,Cochin,1,9595,18,5,18,0,1,30,7,30,9595,8409.167
Jet Airways,Kolkata,Banglore,1,9663,6,5,14,5,4,40,14,35,9663,11327.133
Air India,Delhi,Cochin,2,9443,21,5,19,45,19,15,23,30,9443,10685.58
Air India,Kolkata,Banglore,1,7893,1,4,17,30,12,0,18,30,7893,6680.4595
Multiple carriers,Delhi,Cochin,1,13677,9,3,6,0,21,0,15,0,13677,12693.717
Air India,Delhi,Cochin,1,7480,27,5,6,5,9,25,27,20,7480,7911.046
Jet Airways,Delhi,Cochin,2,11664,27,3,5,25,4,25,23,0,11664,10935.999
Air India,Banglore,Delhi,0,6961,18,6,10,0,12,45,2,45,6961,6462.424
GoAir,Banglore,Delhi,0,3419,24,5,20,55,23,40,2,45,3419,4147.5527
Jet Airways,Delhi,Cochin,2,15129,9,5,9,40,12,35,26,55,15129,13602.369
Multiple carriers,Delhi,Cochin,1,14848,3,6,11,30,19,15,7,45,14848,12036.12
Jet Airways,Kolkata,Banglore,1,9358,12,5,10,20,17,35,7,15,9358,7960.348
Jet Airways,Kolkata,Banglore,1,12681,1,4,8,25,20,45,12,20,12681,10931.843
Jet Airways,Banglore,New Delhi,1,17261,6,3,21,25,10,25,13,0,17261,17723.154
Vistara,Kolkata,Banglore,1,9922,9,6,17,0,10,45,17,45,9922,9508.132
Jet Airways,Kolkata,Banglore,1,10844,18,5,18,55,12,0,17,5,10844,11572.819
Jet Airways,Delhi,Cochin,1,14714,24,6,22,50,4,25,5,35,14714,13633.044
SpiceJet,Chennai,Kolkata,0,3543,27,5,9,45,12,0,2,15,3543,3478.53
SpiceJet,Kolkata,Banglore,0,3873,18,6,17,10,19,40,2,30,3873,3763.5007
IndiGo,Delhi,Cochin,1,7081,24,5,10,35,1,30,14,55,7081,6514.0713
Air India,Delhi,Cochin,1,8372,21,5,13,0,19,15,6,15,8372,9135.184
IndiGo,Chennai,Kolkata,0,3540,3,6,5,15,7,40,2,25,3540,3736.9097
Jet Airways,Delhi,Cochin,1,12898,21,5,14,0,4,25,14,25,12898,13006.165
Jet Airways,Delhi,Cochin,1,14714,27,6,9,0,19,0,10,0,14714,13210.619
Jet Airways,Kolkata,Banglore,1,14151,18,5,20,25,19,10,22,45,14151,12697.249
Air India,Delhi,Cochin,1,5117,1,4,17,20,9,25,16,5,5117,4782.7935
Jet Airways,Delhi,Cochin,1,10262,1,6,13,0,19,0,6,0,10262,12808.608
Jet Airways,Mumbai,Hyderabad,0,2759,21,3,3,5,4,25,1,20,2759,4785.921
Air India,Delhi,Cochin,2,13547,9,5,7,5,7,40,24,35,13547,12121.281
SpiceJet,Kolkata,Banglore,0,3873,21,6,6,55,9,30,2,35,3873,3670.4343
Jet Airways,Kolkata,Banglore,1,14388,21,5,16,30,4,40,12,10,14388,12466.983
Jet Airways,Delhi,Cochin,2,15129,9,5,9,40,4,25,18,45,15129,13653.806
Jet Airways,Kolkata,Banglore,1,10844,21,5,21,10,8,15,11,5,10844,12188.35
Jet Airways,Banglore,New Delhi,1,7832,21,3,11,40,21,20,9,40,7832,8015.641
Jet Airways,Delhi,Cochin,2,11150,27,6,23,5,12,35,13,30,11150,12535.938
Vistara,Kolkata,Banglore,1,8452,9,5,20,20,10,45,14,25,8452,8312.753
Jet Airways,Kolkata,Banglore,1,14571,24,5,20,0,9,20,13,20,14571,11665.027
